,KWH
1082,8022
1083,11727
1084,11683
1085,13369
1086,10750
1087,8856
1088,16792
1089,7509
1090,6908
1091,4657
1092,9803
1093,6409
1094,35809
1095,5559
1096,11746
1097,13187
1098,33823
1099,7966
1100,9506
1101,685
1102,5780
1103,4569
1104,12469
1105,4169
1106,23677
1107,19458
1108,27320
1109,4242
1110,16494
1111,29003
1112,6496
1113,17128
1114,5316
1115,5173
1116,12807
1117,27575
1118,20839
1119,17499
1120,2911
1121,6640
1122,19611
1123,5504
1124,31472
1125,19505
1126,7600
1127,10228
1128,6046
1129,8225
1130,3766
1131,8851
1132,8051
1133,5716
1134,4947
1135,23425
1136,16758
1137,17095
1138,8904
1139,6596
1140,19547
1141,1163
1142,5670
1143,8456
1144,24013
1145,5441
1146,3780
1147,24814
1148,10541
1149,2165
1150,18479
1151,10928
1152,15353
1153,18520
1154,6762
1155,11349
1156,24274
1157,9892
1158,31443
1159,25356
1160,14203
1161,8111
1162,15459
1163,3779
1164,16028
1165,18207
1166,7012
1167,9651
1168,792
1169,6938
1170,4321
1171,5940
1172,16235
1173,33585
1174,29098
1175,6137
1176,13796
1177,16118
1178,21016
1179,12175
1180,9165
1181,10951
1182,7439
1183,10886
1184,11232
1185,31636
1186,3512
1187,10355
1188,12368
1189,7292
1190,5380
1191,9229
1192,26377
1193,3026
1194,7076
1195,2898
1196,3088
1197,15395
1198,5975
1199,4587
1200,5078
1201,22868
1202,16708
1203,8808
1204,13671
1205,11496
1206,37872
1207,13442
1208,9322
1209,1972
1210,7450
1211,17972
1212,20252
1213,4360
1214,10381
1215,4708
1216,7700
1217,2887
1218,20099
1219,12419
1220,6809
1221,8046
1222,6664
1223,4243
1224,2313
1225,6131
1226,30759
1227,5235
1228,10914
1229,4824
1230,11838
1231,5891
1232,5936
1233,2596
1234,3530
1235,6419
1236,26001
1237,5283
1238,10034
1239,14420
1240,9704
1241,20589
1242,14211
1243,2033
1244,14948
1245,9048
1246,8411
1247,15195
1248,2866
1249,9137
1250,10138
1251,12712
1252,7186
1253,15437
1254,5838
1255,4823
1256,10626
1257,9625
1258,10927
1259,24622
1260,6439
1261,8047
1262,16158
1263,17450
1264,23104
1265,15548
1266,46641
1267,9273
1268,19432
1269,13563
1270,28952
1271,16328
1272,9839
1273,26496
1274,16752
1275,38132
1276,5101
1277,7175
1278,9042
1279,2750
1280,12912
1281,2364
1282,5784
1283,15367
1284,10372
1285,11600
1286,8586
1287,5959
1288,11072
1289,10953
1290,2342
