,KWH
4828,36604
4829,11016
4830,5653
4831,7173
4832,9483
4833,14486
4834,25862
4835,15218
4836,4307
4837,13870
4838,8138
4839,72865
4840,2874
4841,9870
4842,7717
4843,20887
4844,26809
4845,18268
4846,13219
4847,16428
4848,17183
4849,16397
4850,28685
4851,3311
4852,1754
4853,2595
4854,2111
4855,12446
4856,25799
4857,2558
4858,15866
4859,15095
4860,7298
4861,6613
4862,5671
4863,11987
4864,14756
4865,11123
4866,13298
4867,2080
4868,6718
4869,14169
4870,22415
4871,9600
4872,8544
4873,3841
4874,9697
4875,17955
4876,10702
4877,8808
4878,5353
4879,7528
4880,2940
4881,9828
4882,1974
4883,15984
4884,20474
4885,24793
4886,11942
4887,7805
4888,10073
4889,18571
4890,9445
4891,8803
4892,4770
4893,7282
4894,4510
4895,11508
4896,2623
4897,3735
4898,15329
4899,7064
4900,16159
4901,25489
4902,13166
4903,8431
4904,20143
4905,21701
4906,17751
4907,14633
4908,29380
4909,12800
4910,7811
4911,8699
4912,38505
4913,5349
4914,12458
4915,10769
4916,29215
4917,20848
4918,4286
4919,15693
4920,10809
4921,12543
4922,6670
4923,12040
4924,10087
4925,12052
4926,5401
4927,4349
4928,19912
4929,11503
4930,8971
4931,4444
4932,1583
4933,16907
4934,21647
4935,21697
4936,18417
4937,25953
4938,4273
4939,25213
4940,16720
4941,11251
4942,13624
4943,9685
4944,15853
4945,5726
4946,10374
4947,11607
4948,8919
4949,6033
4950,23208
4951,6749
4952,15147
4953,11507
4954,5499
4955,4734
4956,7359
4957,16177
4958,5356
4959,10533
4960,6538
4961,13216
4962,7931
4963,17011
4964,23499
4965,4991
4966,1595
4967,10795
4968,8590
4969,24092
4970,54452
4971,15042
4972,16351
4973,4882
4974,2131
4975,11283
4976,2707
4977,13375
4978,8612
4979,9475
4980,2122
4981,48473
4982,11138
4983,22397
4984,11902
4985,4689
4986,27765
4987,9504
4988,4454
4989,21633
4990,6414
4991,12430
4992,13612
4993,7987
4994,6662
4995,3499
4996,11107
4997,25439
4998,7626
4999,12727
5000,28347
5001,15872
5002,11523
5003,10452
5004,15123
5005,2983
5006,5686
5007,5611
5008,9040
5009,8561
5010,11084
5011,12850
5012,18080
5013,18658
5014,13423
5015,15221
5016,4252
5017,2270
5018,4120
5019,3366
5020,10852
5021,1794
5022,14431
5023,3415
5024,21285
5025,3612
5026,8530
5027,23616
5028,30558
5029,7963
5030,25713
5031,10229
5032,10437
5033,16901
5034,23421
5035,13216
5036,13514
5037,3780
5038,9520
5039,34879
5040,14396
5041,6000
5042,5484
5043,16604
5044,12105
5045,15001
5046,14904
5047,12503
5048,7953
5049,4477
5050,3160
5051,2510
5052,9716
5053,4608
5054,1459
5055,23260
5056,23162
5057,10520
5058,9847
5059,2384
5060,21627
5061,8032
5062,4968
5063,5114
5064,6111
5065,5517
5066,9732
5067,6521
5068,9960
5069,14369
5070,4317
5071,4510
5072,13603
5073,7314
5074,4728
5075,19299
5076,19665
5077,9451
5078,3033
5079,3524
5080,2977
5081,5948
5082,26073
5083,6242
5084,5937
5085,5853
5086,5367
5087,5370
5088,13982
5089,10910
5090,23013
5091,16917
5092,3370
5093,8820
5094,6984
5095,8250
5096,16316
5097,14184
5098,5131
5099,5245
5100,4529
5101,4661
5102,10741
5103,6460
5104,11920
5105,14637
5106,13309
5107,25965
5108,15316
5109,15320
5110,6305
5111,10689
5112,5421
5113,12440
5114,2710
5115,5206
5116,11175
5117,4893
5118,20792
5119,13046
5120,3060
5121,7647
5122,12538
5123,9462
5124,2755
5125,8143
5126,25594
5127,9949
5128,5719
5129,2895
5130,10243
5131,10529
5132,7084
5133,10359
5134,962
5135,7667
5136,2582
5137,15283
5138,7883
5139,5308
5140,25236
5141,4179
5142,7748
5143,9436
5144,5631
5145,31172
5146,12380
5147,9783
5148,19940
5149,6059
5150,10482
5151,5080
5152,20124
5153,13594
5154,6710
5155,11486
5156,7563
5157,27928
5158,16469
5159,28821
5160,2361
5161,5498
5162,14630
5163,9556
5164,15457
5165,1941
5166,8803
5167,6864
5168,3447
5169,2889
5170,22131
5171,10853
5172,5575
5173,23845
5174,9673
5175,36878
5176,14561
5177,7727
5178,10350
5179,3932
5180,23906
5181,7009
5182,19790
5183,7674
5184,28390
5185,4359
5186,5067
5187,6666
5188,4250
5189,11871
5190,3132
5191,6104
5192,5251
5193,20799
5194,23172
5195,6598
5196,15669
5197,5398
5198,15169
5199,3832
5200,3933
5201,21208
5202,10909
5203,1271
5204,5300
5205,13685
5206,8746
5207,16349
5208,27344
5209,6601
5210,7757
5211,9157
5212,15418
5213,6225
5214,9466
5215,28209
5216,6162
5217,13906
5218,9930
5219,17846
5220,2234
5221,6985
5222,14920
5223,11904
5224,16418
5225,13012
5226,7358
5227,5798
5228,5240
5229,4260
5230,1993
5231,4658
5232,6032
5233,6650
5234,15093
5235,7256
5236,8483
5237,6204
5238,4128
5239,19514
5240,12330
5241,6246
5242,2564
5243,7028
5244,18420
5245,13056
5246,3682
5247,9840
5248,14315
5249,4750
5250,11382
5251,4601
5252,10169
5253,18172
5254,13211
5255,3718
5256,14326
5257,6121
5258,5170
5259,6612
5260,15787
5261,8856
5262,7515
5263,3138
5264,11104
5265,11104
5266,8312
5267,10502
5268,11847
5269,11493
5270,10688
5271,4566
5272,5703
5273,6027
5274,10732
5275,11806
5276,3207
5277,5903
5278,5272
5279,16016
5280,4259
5281,20349
5282,2110
5283,1520
5284,5155
5285,6360
5286,25569
5287,4962
5288,6981
5289,13585
5290,18724
5291,5885
5292,3109
5293,9802
5294,7630
5295,16094
5296,17701
5297,5115
5298,8278
5299,4479
5300,5987
5301,17531
5302,8559
5303,13901
5304,5083
5305,5229
5306,15887
5307,13590
5308,4430
5309,32204
5310,2522
5311,2864
5312,8603
5313,17210
5314,6581
5315,4563
5316,6607
5317,3806
5318,22943
5319,11531
5320,5938
5321,25763
5322,8028
5323,9174
5324,13057
5325,3173
5326,12209
5327,9924
5328,16979
5329,2699
5330,6949
5331,13266
5332,3811
5333,22211
5334,2373
5335,2858
5336,5562
5337,8334
5338,6648
5339,9253
5340,9972
5341,4467
5342,20337
5343,1248
5344,8628
5345,5205
5346,11583
5347,6960
5348,18567
5349,3794
5350,24133
5351,8534
5352,8583
5353,10697
5354,6260
5355,14343
5356,16539
5357,9331
5358,2256
5359,2079
5360,17875
5361,3721
5362,20644
5363,11741
5364,14267
5365,17757
5366,5336
5367,18879
5368,16140
5369,6336
5370,7780
5371,4751
5372,16577
5373,12733
5374,17557
5375,14346
5376,8594
5377,8193
5378,24311
5379,10417
5380,26230
5381,29653
5382,18643
5383,15847
5384,25623
5385,11094
5386,10496
5387,5147
5388,11685
5389,40473
5390,26868
5391,9327
5392,8603
5393,4488
5394,24447
5395,1707
5396,11419
5397,15415
5398,10495
5399,23963
5400,16774
5401,14295
5402,17543
5403,6018
5404,5636
5405,6387
5406,2530
5407,24091
5408,6310
5409,2367
5410,11297
5411,1496
5412,2523
5413,5848
5414,3578
5415,6131
5416,6086
5417,7577
5418,7429
5419,3904
5420,2009
5421,4620
5422,14117
5423,14591
5424,37095
5425,8111
5426,25240
5427,16054
5428,2266
5429,12695
5430,13043
5431,8927
5432,8302
5433,4445
5434,17490
5435,6425
5436,14506
5437,6271
5438,9340
5439,15946
5440,15571
5441,9419
5442,2592
5443,14439
5444,7823
5445,10565
5446,17192
5447,17784
5448,1179
5449,10996
5450,4464
5451,15608
5452,7491
5453,17323
5454,5265
5455,2970
5456,1239
5457,10413
5458,5177
5459,7170
5460,7044
5461,16500
5462,7158
5463,5226
5464,27885
5465,9856
5466,14667
5467,11270
5468,37432
5469,4302
5470,12225
5471,1278
5472,2024
5473,2441
5474,13110
5475,7983
5476,4468
5477,13651
5478,4791
5479,6355
5480,16443
5481,22263
5482,11467
5483,3299
5484,3527
5485,13043
5486,8469
5487,14640
5488,13886
5489,11378
5490,4462
5491,11457
5492,5986
5493,17250
5494,10440
5495,9188
5496,6754
5497,11905
5498,23327
5499,15384
5500,14249
5501,12970
5502,10347
5503,9816
5504,14313
5505,7812
5506,5611
5507,10221
5508,7514
5509,11441
5510,8897
5511,10801
5512,7306
5513,8070
5514,21737
5515,15924
5516,5542
5517,36361
5518,9569
5519,18551
5520,36135
5521,5939
5522,4783
5523,5867
5524,39340
5525,15993
5526,6415
5527,4027
5528,6147
5529,2651
5530,11736
5531,11734
5532,12164
5533,4481
5534,4523
5535,13221
5536,19193
5537,35987
5538,15340
5539,26762
5540,7954
5541,6573
5542,9285
5543,13289
5544,10734
5545,18126
5546,15887
5547,5226
5548,2288
5549,3111
5550,12314
5551,3279
5552,3916
5553,8468
5554,27054
5555,6976
5556,2791
5557,2628
5558,3605
5559,19740
5560,14808
5561,8829
5562,11118
5563,5173
5564,34528
5565,3050
5566,12836
5567,11932
5568,9162
5569,36568
5570,11258
5571,3500
5572,6560
5573,24229
5574,6021
5575,15780
5576,14313
5577,8739
5578,5490
5579,14183
5580,27330
5581,4565
5582,6019
5583,12644
5584,3583
5585,4253
5586,6069
5587,4933
5588,4547
5589,6196
5590,20757
5591,22417
5592,11233
5593,5524
5594,6922
5595,5940
5596,11126
5597,5695
5598,2424
5599,25953
5600,3803
5601,7612
5602,20775
5603,11246
5604,8127
5605,9205
5606,14058
5607,11585
5608,8776
5609,18829
5610,5494
5611,9029
5612,5460
5613,14531
5614,7082
5615,4515
5616,11261
5617,19886
5618,10053
5619,2623
5620,11745
5621,7367
5622,11869
5623,23069
5624,13727
5625,24723
5626,5352
5627,8016
5628,36476
5629,8933
5630,8444
5631,8594
5632,9177
5633,7493
5634,15498
5635,8191
5636,4835
5637,9637
5638,8131
5639,3079
5640,8023
5641,4219
5642,11601
5643,28777
5644,3532
5645,13929
5646,7492
5647,2915
5648,22857
5649,1363
5650,9836
5651,20028
5652,10175
5653,7363
5654,14875
5655,17135
5656,11552
5657,8841
5658,9936
5659,5726
5660,6181
5661,7910
5662,1203
5663,12316
5664,14038
5665,4650
5666,14848
5667,8804
5668,4663
5669,18963
5670,18440
5671,22818
5672,4395
5673,5337
5674,6460
5675,26108
5676,21044
5677,7538
5678,6903
5679,4056
5680,15201
5681,15492
5682,5203
5683,19449
5684,21531
5685,14575
5686,1959
5687,12919
5688,17794
5689,6562
5690,11704
5691,12346
5692,10948
5693,9310
5694,14095
5695,11071
5696,10292
5697,12114
5698,6102
5699,4258
5700,11688
5701,14636
5702,10672
5703,28147
5704,14168
5705,6223
5706,17474
5707,15331
5708,11475
5709,8384
5710,7466
5711,2210
5712,10609
5713,6123
5714,5460
5715,8155
5716,29642
5717,14879
5718,12181
5719,23358
5720,5319
5721,23179
5722,9059
5723,9566
5724,4467
5725,13933
5726,16881
5727,9888
5728,12642
5729,9381
5730,10066
5731,15311
5732,5956
5733,17075
5734,16820
5735,10174
5736,5345
5737,5544
5738,12022
5739,8419
5740,3037
5741,9185
5742,5227
5743,19991
5744,4670
5745,1280
5746,5904
5747,5798
5748,3659
5749,10631
5750,13477
5751,6809
5752,15847
5753,9732
5754,10572
5755,4092
5756,5064
5757,8742
5758,7076
5759,2940
5760,8797
5761,9921
5762,16133
5763,9559
5764,5967
5765,7750
5766,5650
5767,12468
5768,5804
5769,9665
5770,19164
5771,3579
5772,23563
5773,9423
5774,67
5775,15691
5776,18288
5777,4697
5778,27077
5779,5447
5780,8790
5781,6332
5782,12645
5783,10060
5784,5870
5785,14929
5786,2702
5787,6895
5788,7349
5789,21924
5790,9370
5791,14330
5792,20142
5793,8769
5794,10768
5795,5979
5796,10473
5797,9684
5798,2870
5799,8126
5800,7754
5801,6533
5802,7130
5803,8981
5804,6562
5805,6421
5806,14511
5807,20410
5808,2810
5809,22235
5810,12249
5811,26717
5812,6087
5813,3658
5814,12572
5815,9640
5816,3371
5817,11002
5818,13206
5819,4966
5820,17910
5821,11977
5822,22134
5823,3079
5824,6039
5825,7958
5826,6897
5827,9822
5828,17391
5829,7618
5830,14043
5831,6537
5832,9804
5833,7948
5834,12232
5835,18249
5836,16268
5837,11125
5838,7693
5839,9842
5840,8072
5841,4634
5842,7871
5843,8910
5844,4384
5845,8902
5846,5437
5847,22155
5848,11649
5849,7270
5850,17179
5851,7166
5852,17897
5853,17146
5854,8675
5855,8695
5856,10182
5857,5045
5858,12338
5859,32705
5860,3557
5861,11905
5862,14420
5863,9515
5864,16683
5865,14554
5866,8075
5867,14175
5868,11288
5869,8877
5870,6434
5871,3482
5872,11716
5873,1664
5874,5351
5875,8847
5876,2027
5877,14484
5878,15315
5879,10570
5880,4783
5881,7081
5882,8777
5883,4557
5884,19605
5885,2657
5886,4215
5887,18549
5888,29127
5889,5637
5890,3959
5891,13330
5892,2569
5893,9227
5894,21250
5895,22203
5896,4808
5897,10890
5898,16543
5899,15295
5900,7907
5901,3718
5902,7601
5903,50685
5904,12034
5905,7874
5906,20146
5907,2547
5908,9189
5909,8323
5910,2196
5911,15151
5912,11819
5913,5780
5914,15108
5915,11124
5916,14090
5917,10439
5918,7001
5919,18807
5920,9569
5921,4708
5922,5869
5923,6457
5924,3148
5925,4343
5926,31582
5927,14074
5928,28417
5929,3089
5930,10958
5931,5301
5932,2426
5933,15524
5934,7236
5935,10243
5936,10837
5937,9261
5938,7211
5939,20271
5940,11236
5941,2415
5942,10391
5943,6008
5944,14982
5945,5328
5946,5591
5947,4671
5948,3435
5949,9541
5950,12618
5951,8511
5952,16050
5953,5574
5954,6760
5955,18681
5956,6214
5957,5963
5958,6905
5959,14343
5960,8136
5961,11598
5962,6100
5963,14283
5964,17755
5965,3198
5966,6122
5967,1804
5968,4083
5969,9465
5970,18864
5971,12721
5972,16801
5973,17029
5974,11623
5975,26805
5976,6323
5977,4093
5978,21765
5979,2886
5980,2829
5981,6715
5982,4501
5983,5767
5984,12124
5985,11512
5986,17637
5987,18937
5988,10162
5989,46958
5990,13133
5991,12728
5992,10580
5993,6894
5994,1988
5995,7476
5996,5412
5997,4589
5998,7154
5999,21616
6000,4685
6001,4430
6002,5995
6003,3254
6004,4525
6005,7661
6006,15501
6007,13852
6008,3525
6009,10040
6010,3804
6011,12972
6012,8172
6013,9849
6014,18855
6015,22663
6016,21526
6017,5474
6018,10039
6019,4666
6020,4702
6021,11541
6022,12335
6023,6821
6024,6444
6025,2928
6026,20144
6027,15515
6028,17777
6029,5825
6030,32280
6031,14974
6032,24548
6033,9873
6034,12631
6035,4266
6036,7265
6037,2564
6038,11942
6039,16761
6040,3700
6041,11802
6042,8880
6043,21477
6044,13816
6045,25656
6046,14449
6047,11010
6048,6384
6049,16704
6050,11209
6051,16359
6052,4771
6053,2017
6054,6899
6055,2224
6056,25657
6057,7492
6058,12296
6059,5474
6060,15761
6061,11284
6062,12926
6063,8400
6064,32688
6065,14726
6066,20142
6067,13659
6068,11415
6069,23971
6070,8809
6071,20512
6072,6766
6073,13691
6074,4844
6075,3345
6076,20071
6077,4411
6078,13775
6079,14598
6080,14814
6081,22334
6082,5906
6083,9793
6084,5360
6085,2057
6086,11466
6087,17132
6088,12683
6089,5656
6090,9227
6091,16178
6092,10767
6093,8634
6094,6599
6095,18152
6096,23582
6097,7564
6098,2036
6099,17557
6100,6714
6101,24337
6102,9928
6103,10705
6104,15651
6105,15833
6106,18927
6107,9141
6108,23886
6109,8312
6110,4911
6111,1661
6112,7351
6113,13629
6114,4200
6115,9632
6116,13845
6117,10013
6118,8491
6119,9638
6120,11935
6121,8791
6122,12508
6123,11794
6124,13844
6125,7488
6126,15672
6127,30174
6128,40056
6129,33352
6130,34001
6131,6290
6132,12629
6133,6472
6134,19443
6135,6091
6136,8363
6137,17654
6138,4916
6139,11462
6140,10327
6141,11212
6142,3780
6143,12222
6144,9515
6145,11349
6146,9397
6147,23895
6148,5405
6149,30698
6150,8342
6151,16181
6152,20227
6153,9060
6154,24194
6155,51905
6156,3673
6157,4938
6158,14831
6159,5368
6160,20096
6161,8346
6162,12213
6163,19430
6164,17573
6165,4116
6166,12102
6167,2634
6168,8280
6169,11538
6170,3582
6171,5524
6172,6769
6173,18528
6174,17751
6175,3999
6176,5695
6177,11457
6178,7412
6179,17864
6180,13650
6181,11816
6182,3412
6183,12055
6184,11191
6185,9307
6186,1443
6187,16867
6188,7248
6189,21528
6190,19995
6191,28703
6192,4281
6193,6387
6194,13654
6195,3052
6196,6031
6197,11560
6198,12211
6199,16128
6200,8467
6201,12770
6202,11609
6203,13960
6204,18241
6205,16855
6206,5446
6207,9884
6208,2844
6209,2247
6210,3508
6211,7885
6212,8226
6213,9344
6214,4213
6215,3006
6216,8852
6217,9017
6218,2019
6219,8419
6220,9999
6221,4511
6222,7770
6223,28296
6224,13971
6225,6744
6226,7776
6227,1613
6228,14327
6229,10602
6230,7497
6231,14089
6232,8946
6233,13075
6234,5967
6235,16164
6236,4071
6237,5948
6238,11437
6239,11151
6240,13384
6241,4421
6242,5444
6243,13623
6244,5655
6245,6781
6246,8576
6247,14114
6248,11063
6249,6966
6250,24549
6251,9725
6252,5687
6253,2500
6254,14131
6255,4700
6256,20619
6257,2144
6258,5421
6259,21663
6260,14087
6261,5739
6262,5457
6263,13197
6264,2596
6265,1460
6266,3056
6267,5038
6268,6534
6269,19967
6270,6207
6271,14731
6272,8823
6273,4326
6274,13901
6275,17570
6276,11084
6277,20098
6278,10139
6279,19212
6280,4993
6281,3061
6282,23194
6283,15679
6284,20199
6285,15716
6286,21455
6287,6622
6288,18430
6289,20589
6290,1397
6291,7273
6292,32604
6293,2517
6294,6052
6295,6937
6296,14853
6297,7764
6298,8901
6299,10769
6300,29109
6301,5708
6302,2971
6303,36578
6304,20630
6305,6772
6306,5863
6307,7896
6308,6411
6309,10015
6310,19242
6311,8688
6312,21124
6313,3998
6314,16916
6315,12363
6316,5802
6317,9937
6318,11269
6319,5651
6320,19761
6321,1632
6322,6346
6323,15834
6324,1262
6325,15542
6326,24285
6327,6853
6328,13096
6329,17501
6330,14983
6331,1567
6332,11596
6333,2789
6334,1793
6335,7197
6336,9394
6337,9513
6338,12515
6339,4778
6340,10612
6341,1875
6342,8792
6343,11149
6344,21733
6345,4450
6346,8847
6347,18402
6348,4667
6349,9625
6350,16587
6351,8218
6352,9232
6353,7204
6354,20895
6355,13409
6356,4330
6357,10456
6358,10475
6359,2590
6360,21611
6361,23941
6362,10899
6363,8248
6364,1426
6365,11184
6366,15154
6367,14503
6368,3460
6369,1497
6370,9218
6371,13544
6372,3772
6373,10819
6374,12137
6375,9456
6376,9091
6377,7576
6378,6065
6379,13318
6380,5006
6381,7951
6382,3291
6383,14953
6384,6509
6385,3866
6386,14168
6387,5721
6388,10716
6389,17690
6390,19001
6391,11375
6392,10802
6393,1968
6394,4999
6395,14713
6396,17033
6397,3618
6398,10655
6399,15907
6400,13078
6401,27893
6402,10180
6403,10139
6404,2652
6405,8066
6406,7236
6407,9309
6408,9432
6409,5986
6410,15803
6411,8421
6412,27043
6413,6283
6414,13316
6415,4971
6416,15321
6417,4624
6418,1706
6419,14001
6420,9183
6421,8636
6422,35007
6423,2717
6424,22805
6425,15789
6426,34001
6427,21005
6428,11588
6429,7376
6430,7349
6431,6737
6432,7949
6433,18362
6434,9181
6435,20259
6436,5312
6437,21095
6438,25639
6439,37062
6440,18808
6441,27249
6442,21487
6443,11417
6444,15297
6445,24330
6446,6353
6447,6732
6448,2651
6449,4149
6450,6508
6451,5496
6452,14193
6453,16919
6454,17654
6455,11002
6456,8360
6457,2912
6458,10311
6459,19213
6460,7346
6461,6174
6462,6098
6463,12037
6464,29534
6465,13199
6466,17312
6467,7297
6468,9740
6469,16529
6470,24924
6471,46004
6472,9353
6473,13432
6474,3143
6475,17579
6476,9258
6477,13727
6478,5290
6479,16453
6480,10175
6481,24228
6482,1984
6483,22660
6484,7430
6485,23609
6486,12386
6487,13695
6488,11088
6489,6557
6490,5346
6491,5823
6492,15268
6493,9110
6494,3220
6495,11646
6496,3699
6497,8570
6498,10725
6499,8819
6500,18608
6501,43909
6502,9790
6503,2476
6504,21248
6505,8821
6506,10467
6507,1575
6508,7411
6509,6548
6510,16536
6511,5860
6512,3729
6513,9483
6514,5151
6515,16402
6516,9645
6517,28958
6518,17106
6519,19742
6520,6018
6521,23622
6522,20179
6523,5409
6524,8645
6525,1633
6526,9739
6527,8549
6528,16012
6529,8429
6530,4905
6531,10699
6532,17439
6533,10416
6534,9594
6535,1754
6536,12765
6537,23333
6538,3489
6539,11092
6540,4667
6541,8520
6542,14709
6543,7380
6544,8128
6545,12440
6546,25349
6547,10403
6548,3267
6549,19875
6550,16024
6551,5756
6552,4357
6553,12670
6554,21016
6555,40713
6556,12865
6557,10987
6558,8313
6559,7889
6560,6504
6561,9354
6562,4533
6563,8018
6564,7001
6565,8578
6566,5283
6567,18143
6568,1510
6569,9584
6570,5606
6571,21237
6572,14188
6573,9268
6574,3889
6575,9455
6576,5868
6577,9608
6578,2600
6579,8975
6580,6390
6581,13328
6582,19092
6583,11663
6584,20224
6585,20451
6586,6527
6587,5677
6588,15519
6589,2203
6590,12943
6591,9452
6592,6064
6593,9883
6594,14895
6595,7642
6596,11417
6597,14771
6598,11784
6599,11743
6600,7521
6601,24604
6602,6209
6603,4296
6604,2251
6605,8188
6606,19873
6607,6484
6608,14731
6609,9285
6610,16879
6611,1919
6612,3212
6613,7197
6614,4576
6615,5772
6616,5129
6617,13208
6618,6854
6619,11136
6620,19387
6621,2839
6622,4021
6623,10457
6624,3246
6625,6902
6626,20024
6627,7859
6628,7558
6629,7100
6630,7439
6631,1647
6632,2924
6633,6337
6634,10642
6635,4176
6636,7489
6637,11450
6638,1869
6639,9386
6640,11398
6641,4517
6642,16198
6643,3873
6644,10898
6645,22901
6646,5054
6647,15942
6648,13398
6649,15329
6650,12035
6651,20723
6652,11018
6653,4422
6654,16384
6655,11329
6656,50244
6657,8447
6658,4760
6659,6324
6660,10526
6661,7213
6662,4238
6663,3558
6664,8524
6665,5316
6666,5673
6667,4430
6668,20383
6669,9484
6670,28375
6671,4703
6672,20469
6673,6194
6674,5969
6675,18045
6676,3553
6677,8408
6678,16438
6679,21064
6680,5069
6681,21089
6682,18734
6683,13145
6684,3832
6685,1781
6686,6880
6687,7608
6688,5957
6689,20750
6690,5154
6691,10695
6692,3073
6693,4707
6694,15395
6695,17661
6696,21438
6697,14871
6698,2718
6699,12518
6700,11388
6701,11203
6702,19251
6703,12858
6704,6354
6705,5815
6706,12922
6707,6692
6708,2680
6709,2866
6710,10827
6711,1955
6712,11494
6713,3486
6714,11625
6715,8289
6716,5737
6717,14827
6718,12482
6719,13110
6720,7167
6721,3060
6722,12322
6723,18042
6724,40096
6725,25048
6726,33442
6727,16119
6728,14802
6729,5329
6730,25192
6731,24524
6732,7767
6733,13652
6734,22749
6735,8380
6736,4801
6737,6384
6738,11093
6739,9929
6740,21868
6741,17285
6742,6611
6743,17493
6744,1086
6745,13386
6746,1220
6747,16604
6748,30165
6749,12259
6750,10054
6751,6771
6752,8635
6753,7234
6754,4083
6755,26605
6756,7254
6757,7421
6758,19026
6759,5613
6760,2896
6761,10397
6762,7768
6763,8673
6764,19967
6765,16652
6766,10144
6767,14174
6768,4508
6769,5519
6770,3878
6771,6337
6772,2096
6773,5649
6774,22101
6775,20480
6776,17547
6777,10529
6778,7483
6779,7024
6780,10882
6781,3008
6782,13165
6783,1584
6784,2673
6785,9077
6786,6277
6787,14208
6788,3069
6789,21888
6790,2921
6791,8616
6792,14193
6793,25048
6794,13014
6795,5715
6796,8534
6797,14981
6798,4508
6799,5490
6800,1676
6801,10692
6802,19629
6803,24024
6804,9566
6805,14511
6806,7979
6807,9969
6808,2866
6809,6823
6810,7713
6811,15653
6812,9211
6813,3823
6814,3598
6815,7325
6816,14581
6817,8887
6818,8464
6819,9197
6820,4968
6821,10391
6822,47039
6823,2594
6824,13460
6825,7062
6826,2653
6827,9096
6828,10747
6829,2176
6830,14886
6831,4630
6832,18444
6833,4208
6834,5201
6835,4163
6836,7625
6837,10373
6838,23576
6839,12076
6840,7046
6841,5302
6842,2031
6843,8075
6844,13832
6845,40243
6846,8322
6847,15167
6848,14736
6849,10966
6850,20865
6851,5550
6852,3242
6853,3520
6854,20679
6855,20058
6856,12574
6857,11354
6858,11713
6859,26425
6860,14411
6861,3483
6862,7574
6863,29307
6864,11429
6865,7637
6866,5425
6867,10393
6868,16196
6869,9582
6870,28748
6871,15374
6872,18133
6873,8229
6874,6815
6875,27572
6876,20145
6877,9576
6878,18333
6879,14200
6880,12061
6881,12500
6882,7395
6883,12133
6884,18986
6885,11799
6886,6832
6887,13472
6888,13213
6889,2549
6890,22997
6891,5630
6892,3778
6893,10295
6894,2995
6895,7275
6896,8128
6897,6101
6898,22863
6899,20374
6900,5303
6901,8036
6902,3392
6903,19202
6904,12028
6905,12489
6906,5730
6907,3529
6908,6964
6909,3467
6910,7542
6911,5968
6912,10229
6913,2500
6914,10334
6915,8139
6916,17515
6917,4346
6918,16645
6919,8529
6920,14576
6921,10104
6922,12493
6923,11579
6924,23103
6925,2691
6926,4142
6927,7428
6928,32471
6929,26147
6930,21816
6931,5373
6932,17443
6933,3748
6934,7767
6935,10929
6936,3445
6937,7531
6938,14183
6939,24508
6940,8448
6941,10903
6942,26033
6943,16437
6944,17404
6945,7441
6946,10382
6947,22192
6948,15704
6949,5664
6950,7928
6951,15828
6952,4796
6953,8324
6954,11150
6955,1777
6956,19280
6957,13280
6958,5024
6959,6873
6960,26815
6961,12991
6962,8726
6963,11492
6964,3326
6965,7220
6966,21230
6967,10518
6968,13744
6969,9885
6970,54177
6971,17087
6972,7193
6973,7460
6974,12398
6975,6096
6976,9765
6977,4099
6978,12806
6979,12746
6980,12678
6981,9471
6982,34690
6983,4594
6984,12940
6985,11313
6986,26994
6987,6520
6988,98
6989,9431
6990,8106
6991,3988
6992,5722
6993,10870
6994,5464
6995,8829
6996,2223
6997,6967
6998,13714
6999,26447
7000,18491
7001,25344
7002,24218
7003,33819
7004,5861
7005,8300
7006,5916
7007,5375
7008,11378
7009,11660
7010,19795
7011,19912
7012,4676
7013,22977
7014,1670
7015,8609
7016,13866
7017,19197
7018,9656
7019,9524
7020,2919
7021,4137
7022,18158
7023,11516
7024,5556
7025,8114
7026,2410
7027,2937
7028,4071
7029,3970
7030,10195
7031,10517
7032,8852
7033,8666
7034,10604
7035,8823
7036,14886
7037,13869
7038,10491
7039,13503
7040,14024
7041,4242
7042,25042
7043,2699
7044,27584
7045,20090
7046,7836
7047,10860
7048,21127
7049,12067
7050,12095
7051,2277
7052,13319
7053,4319
7054,9284
7055,15487
7056,6896
7057,4530
7058,19464
7059,6932
7060,14473
7061,2184
7062,34807
7063,7564
7064,5918
7065,15466
7066,9736
7067,21723
7068,25959
7069,10286
7070,2322
7071,1285
7072,3863
7073,8783
7074,6082
7075,23246
7076,5246
7077,8753
7078,7069
7079,30871
7080,13694
7081,11482
7082,7468
7083,6450
7084,19467
7085,23784
7086,2866
7087,3744
7088,19641
7089,4652
7090,11744
7091,14323
7092,5577
7093,5021
7094,17420
7095,14896
7096,6414
7097,4761
7098,16924
7099,11887
7100,7317
7101,5037
7102,3024
7103,3808
7104,16880
7105,8048
7106,3683
7107,13688
7108,5296
7109,7728
7110,11039
7111,18961
7112,3224
7113,14132
7114,23653
7115,9160
7116,11446
7117,8296
7118,4702
7119,11307
7120,7685
7121,9479
7122,3995
7123,1655
7124,9026
7125,10447
7126,15732
7127,3675
7128,12468
7129,16635
7130,33298
7131,14697
7132,6702
7133,11303
7134,13919
7135,6874
7136,17671
7137,5737
7138,6704
7139,3383
7140,21242
7141,12573
7142,7545
7143,6477
7144,10519
7145,13468
7146,4235
7147,10218
7148,9300
7149,13161
7150,19707
7151,4871
7152,8145
7153,12603
7154,6436
7155,7403
7156,13931
7157,7178
7158,11721
7159,7410
7160,2661
