,NWEIGHT
687,6557.735971
688,6589.4220399999995
689,10153.14012
690,6503.502026
691,15485.729769999998
692,20672.11032
693,6506.7048159999995
694,6574.535624
695,6800.584954999999
696,9190.810017
697,9610.31754
698,6494.11247
699,6798.749515
700,7862.343839
701,8877.690776000001
702,8542.973786
703,5827.575927000001
704,8416.447271
705,8543.859927
706,6989.0959060000005
707,4977.186852000001
708,10691.24891
709,6936.8277069999995
710,15966.07065
711,8050.406714
712,7595.513779000001
713,3409.6797810000003
714,16178.31229
715,6183.7026909999995
716,6822.464919
717,7549.589674
718,4232.487136
719,7305.676170999999
720,6050.399185
721,4065.827594
722,7549.589295999999
723,4702.478133
724,4590.24279
725,7742.861228
726,9431.331476000001
727,8140.751020999999
728,4310.356771
729,6763.239556999999
730,7444.000161
731,11615.4513
732,11936.68335
733,6165.750474
734,20093.29506
735,2711.4326760000004
736,6596.346986
737,7681.7687670000005
738,8383.692109
739,16847.45211
740,9620.352474
741,10845.197320000001
742,5067.909324
743,6552.2428310000005
744,16725.00401
745,5789.365707
746,6054.9717630000005
747,6297.0382850000005
748,14293.969140000001
749,5414.5397060000005
750,9909.891753
751,4751.971827
752,7131.083495
753,14912.071680000001
754,6297.038661
755,9666.305231999999
756,11085.53665
757,6004.191447
758,10669.3102
759,3743.521875
760,10643.58047
761,9290.392622
762,3512.4729369999995
763,6027.15772
764,7093.981938
765,9401.18619
766,34738.581589999994
767,4232.4867810000005
768,3805.6041590000004
769,4388.979837
770,7169.306845
771,3909.1769679999998
772,8316.769081999999
773,7093.982249
774,18571.929959999998
775,7634.591654999999
776,6905.034968999999
777,4559.170439
778,7949.288391
779,6576.847582
780,15007.723390000001
781,11475.383909999999
782,8599.17201
783,19500.08876
784,13684.455469999999
785,17310.73719
786,10215.13925
787,6623.869818
788,5862.85566
789,14533.038540000001
790,16371.41895
791,6822.464951000001
792,8338.143206
793,17230.62785
794,7827.842347
795,6313.811514999999
796,8393.97934
797,8366.248325
798,7727.973056999999
799,12661.57839
800,3465.2860960000003
801,7634.591659999999
802,7962.721881
803,13394.78234
804,4232.486884
805,16772.5403
806,6858.5326620000005
807,14727.35442
808,4286.301338
809,4702.477114
810,6691.66535
811,5325.570922999999
812,7553.727439
813,3409.679361
814,8237.066378
815,6206.519599
816,6763.239329999999
817,6763.239329999999
818,15966.07035
819,4109.169863
820,17888.36445
821,8542.975805
822,5600.9893409999995
823,4311.345803
824,7169.306608
825,9102.504192
826,8646.418635
827,7208.100958
828,10457.03729
829,10512.33182
830,5086.295765999999
831,2673.735532
832,2742.5747100000003
833,18391.49747
834,14774.72275
835,6285.536247
836,8067.488595000001
837,25544.32226
838,6297.039382
839,6912.437862999999
840,2896.879925
841,15213.44016
842,4697.213935
843,2778.259096
844,17230.629930000003
845,10775.73302
846,11535.94649
847,13109.09335
848,14249.90466
849,17552.957319999998
850,6139.278504
851,14249.4785
852,5385.314243
853,9246.646811
854,14727.35078
855,2778.25916
856,7420.936225
857,4995.017784000001
858,10574.12185
859,13331.54549
860,9657.703986
861,8159.839103
862,7562.499677
863,6506.7048159999995
864,18088.17481
865,10512.269890000001
866,10344.898070000001
867,4132.608698
868,35517.01997
869,6443.753045
870,6344.824232999999
871,5865.930323
872,2599.8557539999997
873,14264.792459999999
874,11028.64939
875,6861.287581999999
876,20073.844240000002
877,8962.097045999999
878,8845.616277
879,6506.7048159999995
880,6373.546018999999
881,7232.6257510000005
882,6590.834042
883,12046.39436
884,10689.56026
885,12379.499890000001
886,6139.278015
887,6396.675309
888,7818.450283
889,6166.411961
890,6861.287289
891,5756.094161999999
892,9008.731405
893,11737.12413
894,7208.101106
895,12469.420329999999
896,9986.668598999999
897,6798.750178
898,16371.415359999999
899,12876.27947
900,11330.02409
901,10669.30819
902,3286.373907
903,5562.511571
904,3049.409322
905,7204.5916640000005
906,13085.76367
907,6873.736503
908,14797.166330000002
909,13494.442830000002
910,10981.37909
911,7518.429726
912,5932.145754
913,11362.76282
914,8338.142679
915,5053.243675
916,10643.58069
917,7707.69233
918,6466.420459
919,8122.516532
920,6139.278604
921,6466.420546
922,7169.307698999999
923,8089.881048
924,6936.828371
925,6443.753045
926,9539.456005
927,19561.463030000003
928,6297.038132
929,7564.8454489999995
930,7955.394224
931,6861.286894
932,12114.61914
933,9516.478859
934,11655.0009
935,10576.37113
936,10842.32632
937,4065.828114
938,7343.829851
939,7604.881558
940,10368.712609999999
941,4280.2259
942,7577.542825
943,6004.1908490000005
944,4232.487229
945,6590.834129
946,8465.261612999999
947,15804.7087
948,6900.462448
949,11508.381640000001
950,3456.5117149999996
951,2778.259194
952,8122.5162310000005
953,7133.119876999999
954,10845.197320000001
955,7562.498765
956,9412.635945
957,7489.171687000001
958,7537.76121
959,7229.754940999999
960,7562.4982390000005
961,6663.804788
962,14615.70106
963,6054.970875
964,11875.70824
965,5177.5406920000005
966,6767.419231999999
967,4751.971827
968,7364.808679000001
969,4751.971697999999
970,9806.536719
971,8802.187656
972,7269.591987999999
973,5477.42043
974,9323.803406
975,6557.736675
976,10250.94415
977,6919.420373000001
978,6913.442258
979,9308.545688
980,15623.26568
981,30067.8301
982,7169.3069590000005
983,15356.88976
984,12100.5308
985,5177.539909
986,7707.691704999999
987,7049.084503
988,5565.541185
989,7169.305345999999
990,7313.354845999999
991,6644.6864049999995
992,8668.482294
993,5878.402071
994,15966.07065
995,8862.187049
996,12661.57839
997,6466.42177
998,10270.160670000001
999,15353.542519999999
1000,17477.3187
1001,9673.874096
1002,16317.68062
1003,15901.39741
1004,4751.971697999999
1005,8500.603810999999
1006,7489.170697
1007,5414.53928
1008,13960.197909999999
1009,3242.224386
1010,7489.170589
1011,16122.13038
1012,6557.734933
1013,6506.7048159999995
1014,11036.378690000001
1015,4336.079113000001
1016,17888.36445
1017,3079.473845
1018,8697.564941
1019,11076.58864
1020,18655.6876
1021,10552.0454
1022,8345.547105
1023,7784.787731
1024,9030.775128
1025,2886.6078469999998
1026,8542.973786
1027,7229.755574
1028,4197.3401460000005
1029,7632.080729
1030,3532.465168
1031,9713.219004
1032,6246.339681
1033,13155.679090000001
1034,5914.243265
1035,12888.28634
1036,5675.987864
1037,4996.530639
1038,2742.574409
1039,5956.56257
1040,7715.603612000001
1041,5536.850486
1042,8812.433497
1043,15440.36353
1044,29302.448389999998
1045,9610.72767
1046,7503.024498000001
